clip_id,sentence
-BKq3iOBB9k_9-3-rgb_front,And that would be problem two.
-BhMzw-Pem0_10-8-rgb_front,And we have two choices that we can use.
-BhMzw-Pem0_14-8-rgb_front,"And in this particular case, that is what we need."
-BhMzw-Pem0_15-8-rgb_front,So I'm going to use the mechanical pencil on this particular one.
-BhMzw-Pem0_17-8-rgb_front,And I'm going to show you how to do that.
-BhMzw-Pem0_4-8-rgb_front,Which he picked the font out online.
-Bo59KWo7vc_0-8-rgb_front,There is a difference between real goals and fake goals.
-BrxzwEb3E8_10-8-rgb_front,That's the way to stay out of the wrists.
-BrxzwEb3E8_5-8-rgb_front,That's a great way to do that.
-BrxzwEb3E8_8-8-rgb_front,"And then come back up, very nice."
-Bz0BNwqAE4_10-5-rgb_front,I have a few different ones here.
-Bz0BNwqAE4_12-5-rgb_front,That's a medium pick.
-Bz0BNwqAE4_2-5-rgb_front,Okay.
-Bz0BNwqAE4_4-5-rgb_front,"Obviously, you're going to need a guitar."
-Bz0BNwqAE4_7-5-rgb_front,So we need a guitar.
-CAPvlP0BvY_2-8-rgb_front,"You just give it a couple of sprays, and make sure it's nice and clean."
-CAPvlP0BvY_3-8-rgb_front,"And in addition to that, always, always have nearby your trusty fire extinguisher."
-CAPvlP0BvY_4-8-rgb_front,And know how to use it.
-CAPvlP0BvY_5-8-rgb_front,Gorgeous.
-CAPvlP0BvY_6-8-rgb_front,Ready to go.
-CI0wTBVlaI_0-8-rgb_front,To groom your parrot remember that it needs to be bathed.
-CI0wTBVlaI_10-8-rgb_front,Their toenails need to be clipped.
-CI0wTBVlaI_11-8-rgb_front,If they're not and you handle your bird you'll be sorry.
-CI0wTBVlaI_3-8-rgb_front,Other parrots want to get in the shower with you.
-CI0wTBVlaI_4-8-rgb_front,And some just like to be misted or sprayed with a misting bottle.
-CM5y50t9yg_0-8-rgb_front,So here we are and it's race day.
-CM5y50t9yg_2-8-rgb_front,"You've waited for this, you've trained and now you are here."
-CM5y50t9yg_3-8-rgb_front,What do you do when that alarm goes off.
-CM5y50t9yg_5-8-rgb_front,It is very very important to eat and drink before your race.
-CM5y50t9yg_9-8-rgb_front,Don't go into your race dehydrated.
-CYcSZkXFLs_7-8-rgb_front,And so those are some of the things we're going to be talking about today.
-CZLAzGuTSk_4-8-rgb_front,"So here's our facility in Milipitas, California."
-CiUc2Gk4v8_4-8-rgb_front,Make sure that there are no cracks or tears in it.
-CiUc2Gk4v8_7-8-rgb_front,This will insure maximum safety when using your tool.
-CiUc2Gk4v8_9-8-rgb_front,"And lastly, you never want to abuse the chord."
-CmdMw3PKV8_10-8-rgb_front,Just amazing.
-CmdMw3PKV8_13-8-rgb_front,"The vintage shoes sometimes, they just need a little more help."
-CmdMw3PKV8_14-8-rgb_front,Especially the fancier ones like this.
-CmdMw3PKV8_18-8-rgb_front,Here's one pair that I found.
-CmdMw3PKV8_19-8-rgb_front,They look great.
-CmdMw3PKV8_20-8-rgb_front,They look vintage.
-CmdMw3PKV8_22-8-rgb_front,"They're brand new and you know, they just look really cute."
-CmdMw3PKV8_28-8-rgb_front,These are going to last you longer.
-CmdMw3PKV8_3-8-rgb_front,"The shoes, again get a little wear and tear."
-CmdMw3PKV8_31-8-rgb_front,"So you know, when you go to the stores, don't neglect the shoe section."
-CmdMw3PKV8_32-8-rgb_front,Go and take a peek.
-CmdMw3PKV8_33-8-rgb_front,You might find something.
-CmdMw3PKV8_4-8-rgb_front,But you're still going to be able to find some cute ones out there.
-CtWAhfREEc_11-8-rgb_front,It's very important that that's happens as such.
-CtWAhfREEc_14-8-rgb_front,"That's a very important, maybe the most important rule of magic, is to enjoy it."
-CtWAhfREEc_6-8-rgb_front,It's a form of entertainment that helps people really relax.
-CtWAhfREEc_8-8-rgb_front,"And after all, you are pulling coins out of their ears, and so forth."
-CtWAhfREEc_9-8-rgb_front,"But again, enjoy."
-Db1NJJFmVI_2-8-rgb_front,We're going to be doing it with pointing our toes and it's going to come across.
-Db1NJJFmVI_25-8-rgb_front,So again from here.
-Db1NJJFmVI_3-8-rgb_front,It is the opposite of a round kick.
-E1QuB_rCYs_0-8-rgb_front,"O.k., I'm Bobby Larew."
-E1QuB_rCYs_10-8-rgb_front,I should go in vertical and I should be working on my pike save at the end.
-E1QuB_rCYs_4-8-rgb_front,You can solely concentrate on the line up.
-EAXGeHv9U4_11-8-rgb_front,And then we're going to put that on there.
-EAXGeHv9U4_14-8-rgb_front,Slide it around a little bit.
-EdUkSqns3U_10-3-rgb_front,What'll I do now?
-EdUkSqns3U_11-3-rgb_front,Next segment.
-EdUkSqns3U_2-3-rgb_front,The king is thirteen by himself.
-EdUkSqns3U_7-3-rgb_front,So I'm going to take down this three and this ten.
-EdUkSqns3U_8-3-rgb_front,That adds up to thirteen.
-EdUkSqns3U_9-3-rgb_front,There are no more moves.
-EgUpIYXF3k_0-8-rgb_front,Now how do we practice for Tribal belly dancing?
-EgUpIYXF3k_10-8-rgb_front,Your belly buttons pulled in.
-EgUpIYXF3k_11-8-rgb_front,Your chest is lifted.
-EgUpIYXF3k_12-8-rgb_front,Your shoulders are back and down.
-EgUpIYXF3k_13-8-rgb_front,Arms out away from the body.
-EgUpIYXF3k_14-8-rgb_front,"And now, again the arm position is going to vary."
-EgUpIYXF3k_17-8-rgb_front,"So, that you get nice clean movements out of your dancing."
-EgUpIYXF3k_3-8-rgb_front,Now there's different types of tribal style belly dancing.
-EsVrbRTMU4_1-8-rgb_front,This is a glove.
-EsVrbRTMU4_10-8-rgb_front,It's also very difficult to catch in the heel because sometimes the ball will pop out.
-EsVrbRTMU4_12-8-rgb_front,It doesn't really affect the game at all.
-EsVrbRTMU4_15-8-rgb_front,An infielder's glove is much smaller.
-EsVrbRTMU4_18-8-rgb_front,"Now, the first baseman's glove is the exact opposite."
-EsVrbRTMU4_19-8-rgb_front,It's larger than your standard outfielder's glove.
-EsVrbRTMU4_2-8-rgb_front,"This, right here, is your standard outfielder's glove."
-EsVrbRTMU4_24-8-rgb_front,And that's all about the glove.
-EsVrbRTMU4_6-8-rgb_front,This is the pocket right here.
-EsVrbRTMU4_7-8-rgb_front,This is where you ideally want to catch the ball.
-F6vN4bOBWs_1-8-rgb_front,This is no easy task.
-F6vN4bOBWs_14-8-rgb_front,Right?
-F6vN4bOBWs_15-8-rgb_front,Good luck.
-F6vN4bOBWs_16-8-rgb_front,"Dr. Felicia here, goodbye."
-F6vN4bOBWs_8-8-rgb_front,I would strongly recommend laughter is the best medicine.
-FC7u7u8AWo_0-8-rgb_front,This series is going to involve seated poses.
-FE9cQO9pmU_10-8-rgb_front,"Well, it is possible with the magic of yes and."
-FE9cQO9pmU_11-8-rgb_front,"So, we're going to show you how it's done."
-FE9cQO9pmU_8-8-rgb_front,And they're going to have to do that as a group and they have to do it in three minutes.
-FmyGR0GA_E_11-8-rgb_front,Going in to a trail town is another way.
-_3bUhnn4PU_1-8-rgb_front,"On this one, it's a little bit more advanced."
-_3bUhnn4PU_10-8-rgb_front,The black's the most important one.
-_3bUhnn4PU_12-8-rgb_front,And I've got two rulers.
-_3bUhnn4PU_16-8-rgb_front,It's like a self-healing mat.
-_3bUhnn4PU_2-8-rgb_front,I'm actually going to do a portrait.
-_3bUhnn4PU_3-8-rgb_front,A face of a woman.
-_3bUhnn4PU_4-8-rgb_front,"Right now, I'm just going to go over the supplies you're going to need."
-_3bUhnn4PU_8-8-rgb_front,I've got two colored pencils.
-_3bUhnn4PU_9-8-rgb_front,I've got a baby blue and I've got a dark black.
-_6Fmz29bhU_0-1-rgb_front,Hi!
-_6Fmz29bhU_10-1-rgb_front,The reason I'm having Jeff stand here is because I messed this shot up once.
-_6Fmz29bhU_11-1-rgb_front,When I did the cue ball went flying off the table and it broke a mirror.
-_6Fmz29bhU_12-1-rgb_front,I really got in trouble with the management.
-_6Fmz29bhU_14-1-rgb_front,"Now, I'm going to go to the other side of the table and we're going to have the shot."
-_6Fmz29bhU_15-1-rgb_front,"Alright, so here I am."
-_6Fmz29bhU_16-1-rgb_front,I'm ready to do the trick shot now.
-_6Fmz29bhU_18-1-rgb_front,Lining it up.
-_6Fmz29bhU_19-1-rgb_front,With all my mite.
-_6Fmz29bhU_2-1-rgb_front,For my final trick shot.
-_6Fmz29bhU_20-1-rgb_front,Hit the 8 ball first.
-_6Fmz29bhU_21-1-rgb_front,How did I do it?
-_6Fmz29bhU_22-1-rgb_front,Pretty simple.
-_6Fmz29bhU_3-1-rgb_front,This is probably the most impressive one that I've got.
-_6Fmz29bhU_5-1-rgb_front,How did I do that?
-_6Fmz29bhU_9-1-rgb_front,"Alright Jeff, I want you to come here and stand right where I'm standing."
-_Ephr_gwwc_4-8-rgb_front,When we are dealing with males.
-a9uCz7Bo5E_14-8-rgb_front,"And of course the really tricky part, the head."
-a9uCz7Bo5E_20-8-rgb_front,I tend to give two very big horns.
-a9uCz7Bo5E_26-8-rgb_front,And then we have our wings.
-a9uCz7Bo5E_27-8-rgb_front,Wings basically follow a bat wing.
-a9uCz7Bo5E_31-8-rgb_front,And that's your basic lesson in how to draw a dragon.
-aEP1MfoUSU_2-8-rgb_front,"You got to remember, when it comes to competition, you'll always want to keep going."
-aIcS__ed0M_2-8-rgb_front,Maybe lay plastic or old towel.
-aNfi7CP8vM_11-3-rgb_front,Or vice a versa.
-aNfi7CP8vM_2-3-rgb_front,Are they Republican?
-aNfi7CP8vM_4-3-rgb_front,"Are they, you know, staunch Republicans?"
-aNfi7CP8vM_5-3-rgb_front,"Are they very, very liberal Democrats?"
-aNfi7CP8vM_6-3-rgb_front,"And, or are they anything?"
-aZEs9_Vo6g_7-3-rgb_front,It's a great lipstick application technique.
-ayXzLtkpQU_1-8-rgb_front,You wanna--line control is always very important.
-ayXzLtkpQU_5-8-rgb_front,That's perfectly acceptable; whatever is most comfortable for you.
-b4_y6LOSx0_12-8-rgb_front,And you will be working on the weekends.
-b4_y6LOSx0_2-8-rgb_front,Also summer vacation.
-b4_y6LOSx0_7-8-rgb_front,Especially if you have a family.
-b7KlePxsAs_10-8-rgb_front,A 28 E is an American DD.
-b7KlePxsAs_6-8-rgb_front,Another example is this company called Freya.
-bKHI_VTZ1Q_3-8-rgb_front,You want to make sure that it doesn't lift.
-bKHI_VTZ1Q_6-8-rgb_front,"If you see anything that you need to get off, just go back and get it off."
-bLfarX5JXU_14-5-rgb_front,It's a very powerful card.
-bPNlBaNvcI_2-8-rgb_front,It's kind of in between there of what you're going to do.
-bPNlBaNvcI_4-8-rgb_front,Get your hands on your stick.
-bPNlBaNvcI_5-8-rgb_front,You can stick handle.
-bPNlBaNvcI_9-8-rgb_front,And that's pretty much a snap shot.
-bTEtrts5ZU_10-8-rgb_front,The other example that I'm going to show you is layering your drinks.
-bTEtrts5ZU_12-8-rgb_front,And we're going to pour about halfway up.
-bTEtrts5ZU_15-8-rgb_front,"So, those are the uses of your bar spoon."
-bTEtrts5ZU_2-8-rgb_front,"It may or may not have an end, like such."
-bTEtrts5ZU_3-8-rgb_front,This is a flat circular end.
-bTEtrts5ZU_4-8-rgb_front,There's a lot of uses for this.
-bTEtrts5ZU_8-8-rgb_front,"And what this does, it allows you to prevent bruising your drink."
-bx5X9wxho4_1-5-rgb_front,You can use a wall for balance.
-bx5X9wxho4_11-5-rgb_front,"Stability, concentration and balance."
-bx5X9wxho4_7-5-rgb_front,So that's fine if you do that as well.
-c5CKp2JWHE_1-5-rgb_front,Daniel's going to blast me to the side of the head.
-c5CKp2JWHE_11-5-rgb_front,"Here, I've trapped."
-c5CKp2JWHE_12-5-rgb_front,"It's here, he's trapped."
-c5CKp2JWHE_13-5-rgb_front,Now we'll go ahead and get on the hip.
-c5CKp2JWHE_15-5-rgb_front,Let's do that one more time.
-c5CKp2JWHE_16-5-rgb_front,"Blending with it, hooking the hip."
-c5CKp2JWHE_3-5-rgb_front,So you need to end up in here.
-c5CKp2JWHE_4-5-rgb_front,What I'm going to do is come in and dominate here.
-cSzPRipb94_1-5-rgb_front,Today we are going to discuss rock climbing techniques.
-cSzPRipb94_8-5-rgb_front,Footwork is extremely important in rock climbing.
-c_OoOsTigw_12-5-rgb_front,"Now you could actually get up here higher, where you start getting into the feet in the meerkat details."
-c_OoOsTigw_7-5-rgb_front,"Otherwise, just go to town and slop it on."
-cjui5FUrLQ_9-5-rgb_front,That's what this is for.
-cmG4MzqyjE_14-5-rgb_front,Just apply it to the dark spot.
